(-709,-14631)
(709,14631)
(-14143,-13617)
(24951,-3707)
(-19057,15171)
(-22873,14887)
(-29091,24537)
(-1827,-21519)
(12475,-29492)
(-7554,31490)
(-16929,-23662)
(20812,16864)
(7477,8243)
(30581,2871)
(20321,16203)
(-24007,-12925)
(-21853,-28615)
(24200,3125)
(-749,-4017)
(18422,23067)
(27253,-7370)
(-25499,-30698)
(2637,14202)
(24961,-17026)
(3844,14402)
(-16086,15576)
(-7048,6954)
(-24044,25426)
(20036,8553)
(-18886,5153)
(-31776,-14541)
(18972,12817)
(24157,-5267)
(5985,-33)
(13525,-6413)
(-14061,-9971)
(-29996,-27745)
(-29743,17)
(-29106,-26487)
(147,-14093)
(8611,-20219)
(18232,-30144)
(14455,-4193)
(31178,-9560)
(-10077,-17262)
(27154,-6662)
(-16137,20450)
(3196,-21546)
(-17963,-21990)
(-5435,3725)
(-31125,-576)
(-16593,-30705)
(7671,9750)
(17614,-15809)
(-18471,22000)
(3402,-32607)
(-15834,-6478)
(9297,25174)
(12850,31630)
(28555,23540)
(-104,-30954)
(-31527,6509)
(5704,12010)
(-27161,4709)
(3710,-8389)
(18522,-16176)
(-21014,-17963)
(84,12272)
(20187,-2931)
(14023,11208)
(-10211,-3933)
(4203,-7316)
(-22455,-6971)
(-9283,-12535)
(13865,-14361)
(-12071,-24139)
(22184,28985)
(-32357,1961)
(24094,-15973)
(23759,23197)
(-3965,23066)
(-25752,-19110)
(-24227,2584)
(-12824,-4084)
(-18913,-30248)
(20264,-5897)
(27757,-10182)
(18192,20683)
(-16979,-16194)
(-20876,-23014)
(26265,666)
(9394,-16378)
(25793,21253)
(-10310,7766)
(18053,18239)
(10824,19594)
(-16691,-7688)
(-22510,-31714)
(14733,-10424)
(18704,312)
(-14747,-13450)
(13075,14894)
(-26343,-5042)
(-20265,-8564)
(14865,22895)
(-17097,24769)
(11159,-29075)
(30261,-17305)
(21099,17931)
(-7336,7655)
(27621,5205)
(-12864,7489)
(15580,29454)
(31589,1118)
(-28288,-30866)
(-13543,-3146)
(9319,23420)
(24148,25543)
(-7251,30296)
(27674,-27831)
(9833,247)
(-8761,-19188)
(-30023,25897)
(-28369,-3296)
(-22673,27941)
(17257,12273)
(20127,-3669)
(-19115,-5601)
(-25548,-31299)
(-22617,3987)
(-32018,17589)
(-1175,-8967)
(-24160,-30624)
(-431,298)
(-19762,-15974)
(-31681,13770)
(10100,-21179)
(11819,18604)
(-3376,-22847)
(-25395,2520)
(-25074,22168)
(14313,-21733)
(18838,19222)
(-26161,-19207)
(15402,556)
(-15942,-22491)
(12300,4314)
(-4446,-13277)
(-8119,-20966)
(20300,17356)
(8713,11288)
(-26584,-19136)
(-4867,1829)
(31340,-17817)
(-3695,4415)
(-1902,-9883)
(27991,-14153)
(24418,-8852)
(-20037,-12371)
(4400,-14308)
(7119,23014)
(11034,21997)
(-5127,-25292)
(7664,-26675)
(-24804,3634)
(-20608,-28834)
(25304,-30496)
(-20498,9404)
(-21345,-1452)
(-23074,-14766)
(2331,-21906)
(-13272,-19786)
(24213,16110)
(11165,14607)
(-26491,-10924)
(-14251,-15443)
(27490,7983)
(-22149,31907)
(-8696,4553)
(7879,-11)
(17120,-759)
(5591,23849)
(17582,-3305)
(1011,21787)
(11647,20381)
(-3178,18811)
(6719,11205)
(-4050,-1313)
(-30346,23822)
(-2768,-11810)
(-28316,29576)
(-22208,7668)
(4559,25773)
(7256,3604)
(8269,-27075)
(-22318,-9482)
(6186,23499)
(-21720,4068)
(15158,3471)
(21734,-19922)
(14289,-28199)
(26158,19623)
(20271,-30733)
(23534,-28775)
(-5827,-31108)
(25260,15285)
(1399,-10676)
(360,9479)
(6927,-12450)
(1432,847)
(-32181,9582)
(16144,15967)
(10303,29440)
(29418,25494)
(31711,-18896)
(-18638,12152)
(-4828,11644)
(-12373,-18424)
(-18614,30612)
(4231,-23568)
(-27743,-4949)
(10757,14706)
(-14679,32177)
(-467,-18302)
(24629,9655)
(17361,-19008)
(13445,32283)
(-27281,15236)
(-27900,-26368)
(4521,-24013)
(26618,14370)
(-16869,14869)
(-27996,-7216)
(-18187,-30199)
